0-autoresearch-skill	自律AIリサーチを自動制御
litgpt	LitGPTでLLMを実装・訓練
mamba	O(n)の状態空間モデル
nanogpt	教育用GPT実装（300行）
rwkv	RNN+Transformer混合モデル
torchtitan	PyTorchで分散LLM事前訓練
huggingface-tokenizers	高速トークナイザー
sentencepiece	言語非依存トークナイザー
axolotl	AxolotlでLLMをファインチューン
llama-factory	LLaMA-FactoryでLLM微調整
peft	LoRA等で効率的微調整
unsloth	高速ファインチューニング支援
nnsight	NNの内部解釈・操作支援
pyvene	PyTorchモデルの因果介入
saelens	SAEの訓練・分析支援
transformer-lens	Transformerの機械的解釈
nemo-curator	GPU高速データキュレーション
ray-data	MLデータの分散処理
grpo-rl-training	GRPOとRL微調整の支援
miles	エンタープライズRL訓練
openrlhf	高性能RLHFフレームワーク
simpo	シンプルな選好最適化
slime	slimeでLLMのRL後訓練
torchforge	PyTorchネイティブRL支援
trl-fine-tuning	TRLでRLファインチューン
verl	verlでRL訓練を支援
constitutional-ai	無害AI訓練の手法
llamaguard	LLM入出力モデレーション
nemo-guardrails	LLMアプリの安全ガード
prompt-guard	プロンプトインジェクション検出
accelerate	最小限の分散訓練API
deepspeed	DeepSpeedで分散訓練
megatron-core	Megatronで超大規模LLM訓練
pytorch-fsdp2	FSDP2で完全分散訓練
pytorch-lightning	高レベルPyTorchフレームワーク
ray-train	クラスタ分散訓練制御
lambda-labs	オンデマンドGPUクラウド
modal	サーバーレスGPUクラウド
skypilot	マルチクラウドML最適化
awq	活性化考慮4bit量子化
bitsandbytes	LLMを8/4bit量子化
flash-attention	Flash Attentionで高速化
gguf	GGUF形式でCPU推論
gptq	学習後4bit量子化
hqq	キャリブ不要の量子化
ml-training-recipes	PyTorchの実証済みレシピ
bigcode-evaluation-harness	コード生成モデル評価
lm-evaluation-harness	LLMの学術ベンチマーク評価
nemo-evaluator	100+ベンチマーク評価
llama-cpp	CPUでLLM推論実行
sglang	高速構造化生成・サービング
tensorrt-llm	TensorRTでLLM最適化
vllm	高スループットLLMサービング
mlflow	ML実験・モデル管理
swanlab	オープンソース実験追跡
tensorboard	訓練メトリクス可視化
weights-and-biases	ML実験の自動トラッキング
a-evolve	AIエージェントの自動進化
autogpt	自律AIエージェント基盤
crewai	マルチエージェント協調
langchain	LLMアプリ構築フレームワーク
llamaindex	LLMアプリ向けデータ基盤
chroma	OSSベクトルデータベース
faiss	高効率類似検索ライブラリ
pinecone	マネージドベクトルDB
qdrant	高性能ベクトル検索エンジン
sentence-transformers	文・画像埋め込みフレームワーク
dspy	宣言的AIシステム構築
guidance	LLM出力の構造制御
instructor	LLMから構造データ抽出
outlines	生成時の構造保証
langsmith	LLMトレース・評価基盤
phoenix	OSSのLLM可観測性基盤
audiocraft	テキストから音楽・音声生成
blip-2	画像とLLMの連携モデル
clip	視覚と言語を繋ぐモデル
cosmos-policy	ロボット方策の評価支援
llava	視覚的指示チューニング
openpi	ロボット方策モデルの微調整
openvla-oft	OpenVLA-OFTの微調整評価
segment-anything	ゼロショット画像分割
stable-diffusion	テキストから画像生成
whisper	多言語音声認識モデル
knowledge-distillation	知識蒸留でモデル圧縮
long-context	コンテキスト長の拡張
model-merging	複数モデルのマージ
model-pruning	プルーニングでLLM圧縮
moe-training	MoEモデルの訓練
speculative-decoding	投機的デコードで高速化
academic-plotting	ML論文の高品質図表生成
ml-paper-writing	ML/AI論文の執筆支援
presenting-conference-talks	学会発表スライド生成
systems-paper-writing	システム論文執筆ガイド
brainstorming-research-ideas	研究アイデアのブレスト
creative-thinking-for-research	創造的研究思考の支援
compiler	研究入力を整理・統合
research-manager	研究の来歴を記録
rigor-reviewer	研究成果の厳密性評価
